sample,fastq_1,fastq_2
23AR000051-OH-M5185-240105,23AR000051-OH-M5185-240105.R1.fastq.gz,23AR000051-OH-M5185-240105.R2.fastq.gz
23AR000056-OH-M5185-240117,23AR000056-OH-M5185-240117.R1.fastq.gz,23AR000056-OH-M5185-240117.R2.fastq.gz
24AR000116-OH-M6588-240117,24AR000116-OH-M6588-240117.R1.fastq.gz,24AR000116-OH-M6588-240117.R2.fastq.gz
24AR002811-OH-M06588-240826,24AR002811-OH-M06588-240826.R1.fastq.gz,24AR002811-OH-M06588-240826.R2.fastq.gz
24AR000516-OH-VH00648-240209,24AR000516-OH-VH00648-240209.R1.fastq.gz,24AR000516-OH-VH00648-240209.R2.fastq.gz
24AR000423-OH-VH00648-240216,24AR000423-OH-VH00648-240216.R1.fastq.gz,24AR000423-OH-VH00648-240216.R2.fastq.gz
24AR001491-OH-VH00648-240426,24AR001491-OH-VH00648-240426.R1.fastq.gz,24AR001491-OH-VH00648-240426.R2.fastq.gz
24AR001492-OH-VH00648-240426,24AR001492-OH-VH00648-240426.R1.fastq.gz,24AR001492-OH-VH00648-240426.R2.fastq.gz
24AR002211-OH-VH00648-240823,24AR002211-OH-VH00648-240823.R1.fastq.gz,24AR002211-OH-VH00648-240823.R2.fastq.gz
24AR003132-OH-VH01632-240816,24AR003132-OH-VH01632-240816.R1.fastq.gz,24AR003132-OH-VH01632-240816.R2.fastq.gz
24AR003331-OH-VH01632-240829,24AR003331-OH-VH01632-240829.R1.fastq.gz,24AR003331-OH-VH01632-240829.R2.fastq.gz
24AR005295-OH-VH01632-241210,24AR005295-OH-VH01632-241210.R1.fastq.gz,24AR005295-OH-VH01632-241210.R2.fastq.gz
