sampleID,species,projectID
25AR000524,Acinetobacter,OH-VH01632-250221
26AR000583,Acinetobacter,OH-VH00648-260220_AR
24AR000771,Acinetobacter,OH-VH00648-240301
26AR000106,Acinetobacter,OH-VH01632-260123_AR
24AR000772,Acinetobacter,OH-VH00648-240301
26AR000181,Acinetobacter,OH-VH01632-260123_AR
24AR000080,Acinetobacter,OH-M6588-240117
24AR000591,Acinetobacter,OH-VH01632-240223
25AR005393,Acinetobacter,OH-VH01632-260102_AR
23AR000029,Acinetobacter,OH-M5185-240105
24AR005391,Acinetobacter,OH-VH00648-250110_AR
24AR001712,Acinetobacter,OH-VH01632-240509
23AR000076,Acinetobacter,OH-M5185-240117
24AR000714,Acinetobacter,OH-VH00648-240301
25AR004469,Acinetobacter,OH-VH01632-251106_AR
26AR000343,Acinetobacter,OH-VH00648-260210_AR
